Name,Caption,Alt
hospital_bill,Hospital bill for delivery and one week stay,Hospital Bill
obit_1,Obituary for Mrs. Thomas Cleary,Obituary 1
obit_2,Obituary for Mrs. Thomas Cleary,Obituary 2
obit_3,Obituary for Mrs. Thomas Cleary,Obituary 3
christmas_letter_to_father,Christmas Letter I wrote to my Father,Christmas Letter
high_school_credit_report,High School Report,High School Report
graduation_booklet,Little Booklet given at High School Graduation,Graduation booklet
honor_roll_notice_1,Honor Roll Notice,Honor Roll Notice 1
honor_roll_notice_2,Honor Roll Notice,Honor Roll Notice 2
honor_roll_notice_3,Honor Roll Notice,Honor Roll Notice 3
evolution,My Evolution Piece,Evolution
high_school_diploma,High School Diploma,High School Diploma
univ_of_detroit_transcript,First Year Transcript from University of Detroit,UofDetroit Transcript
wayne_univ_night_school,Night school at Wayne University,Wayne University
marine_travel_1,Marine Travel Stubs,Marine Travel 1
marine_travel_2,Marine Travel Stubs,Marine Travel 2
marine_travel_3,Marine Travel Stubs,Marine Travel 3
ration_book_1,Rations Book,Rations Book 1
ration_book_2,Rations Book,Rations Book 2
Jack_and_i_back,Back of Photo of Jack and I,Jack and I Back
corporal_promotion,Corporal Promotion Memorandum,Corporal
marine_momentos_1,Marine Momento,Marine Momento 1
marine_momentos_2,Marine Momento,Marine Momento 2
marine_momentos_3,Marine Momento,Marine Momento 3
marine_momentos_4,Marine Momento,Marine Momento 4
marine_momentos_5,Marine Momento,Marine Momento 5
marine_momentos_6,Marine Momento,Marine Momento 6
marriage_certificate,Marriage Certificate,Marriage Certificate
marriage_cert_letter,Marriage Certification Letter from Church,Marriage Certificate Letter
park_manor_receipt,Receipt from Park Manor Hotel on Wedding Night,Park Manor
our_only_solution_1,Paper written for Religion Class at Univ of Detroit,Our Only Solution 1
our_only_solution_2,Paper written for Religion Class at Univ of Detroit,Our Only Solution 2
our_only_solution_3,Paper written for Religion Class at Univ of Detroit,Our Only Solution 3
our_only_solution_4,Paper written for Religion Class at Univ of Detroit,Our Only Solution 4
our_only_solution_5,Paper written for Religion Class at Univ of Detroit,Our Only Solution 5
our_only_solution_6,Paper written for Religion Class at Univ of Detroit,Our Only Solution 6
our_only_solution_7,Paper written for Religion Class at Univ of Detroit,Our Only Solution 7
first_communion_cert,Certificate of First Communion,First Communion Certificate
baby_portrait_2,Baby Portrait,Baby Portrait 2
dessie_2,Dessie Cooper,Dessie Cooper 2
